Depth(ft),ROP(1 ft),weight on bit (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow Out %,WH Pressure (psi)
339.47,230.63,26.9,105.76,103.91,177.69,437.41,53.5,104.94,0,1003.14,70.22,-1230.69
340.47,34.62,4.63,105.95,104.02,177.81,434.36,75.77,106.25,0,1008.64,69.93,-1230.31
341.52,297.68,11.5,105.99,104.02,177.9,439.32,68.9,105.77,0,1008.03,68.64,-1230.69
342.65,219.99,13.48,106.11,104.52,177.9,435.89,66.92,105.22,0,1000.91,69.34,-1230.31
343.7,87.9,7,106.07,104.56,177.47,437.79,73.4,105.22,0,1000.3,67.14,-1230.31
344.77,120.94,9.9,106.03,104.6,177.29,446.94,70.5,104.46,0,1020.41,72.15,-1230.31
345.8,514.29,0.9,106.26,105.36,172.18,403.1,79.5,101.01,0,948.09,66.85,-1229.93
346.75,361.31,8.42,103.48,104.63,253.99,464.48,51.98,47.64,207.23,1045.8,60.35,0.64
347.85,496.77,9.11,103.51,104.63,254.24,459.14,51.29,47.64,218.25,1045.39,60.38,0.64
348.88,309.6,0,103.63,104.6,254.53,464.1,61.81,47.37,263.26,1043.34,60.27,0.64
349.94,518.39,4.38,103.7,104.6,254.83,464.86,56.02,47.64,263.84,1048.26,60.59,0.64
350.95,604.82,4.46,103.74,104.56,255,463.34,55.94,47.37,264.94,1048.25,60.38,0.64
352.05,794.88,0,103.82,104.48,255.03,460.67,61.35,47.37,100.58,1048.46,60.35,0.64
353.08,863.99,10.56,103.82,104.52,255.18,466.01,49.84,47.37,109.68,1044.77,60.18,0.64
354.19,794.88,6.29,103.86,104.52,255.41,462.19,54.11,47.37,271.58,1043.14,57.57,0.64
355.22,719.99,24.97,103.89,104.52,255.57,461.05,35.43,47.37,92.26,1042.73,58.68,0.64
356.23,499.18,26.42,103.93,104.52,255.71,467.91,33.98,47.37,89.18,1044.77,58.92,0.64
357.31,530.2,10.33,103.97,104.52,255.77,466.39,50.07,47.16,97.19,1045.59,57.16,0.64
358.41,124.19,1.1,104.12,104.41,256.11,461.43,59.3,46.89,87.95,1043.34,65.86,0.64
359.54,451.2,16.89,104.16,104.48,256.13,464.48,43.51,46.89,71.04,1043.55,66.27,0.64
360.74,431.98,28.56,104.2,104.44,256.13,469.06,31.85,47.16,74.19,1046.61,66.21,0.64
361.85,2977.91,0,106.03,105.05,266.01,461.43,75.31,46.89,62.71,1044.57,59.62,-0.51
362.89,310.21,0,105.99,105.02,266.01,453.81,60.44,46.61,68.02,1046,59.04,-0.51
363.9,133.82,3.62,106.22,105.05,266.74,460.29,56.78,46.89,98.08,1042.11,60.09,-0.51
364.93,374.41,23.45,106.26,105.05,266.95,466.39,36.95,47.16,80.28,1045.58,59.83,-0.51
365.98,75.84,27.38,101.3,104.33,277.63,225.06,57.62,32.13,41.31,737.26,51.26,3.31
366.99,50.61,26.77,101.72,104.33,277.64,220.48,58.23,32.41,70.26,739.1,53.05,3.31
368,106.36,3.13,102.29,104.18,275.66,319.99,81.87,32.68,49.12,845.36,59.69,3.69
369.04,97.97,12.67,102.71,104.14,275.56,326.85,72.33,32.68,46.87,852.73,58.49,3.31
370.05,34.62,4.96,103.48,104.18,275.55,325.71,80.04,32.96,72.99,860.52,61.95,3.69
371.08,127.55,20.29,103.4,104.22,275.55,324.56,64.71,32.68,93.46,858.27,62.53,3.69
372.12,128.38,20.6,103.48,104.22,275.57,326.09,64.4,32.68,88,860.11,62.59,3.69
373.13,98.48,27.31,103.55,104.22,275.21,327.23,57.69,32.68,84.25,862.77,59.99,3.31
374.14,82.81,18.99,103.93,104.22,275.2,326.85,66.01,32.96,81.56,860.92,58.79,3.69
375.2,111.83,13.89,104.05,104.25,275.2,327.99,71.11,32.96,73.9,861.34,59.05,3.69
381,100,6.34,104.05,104.22,275.2,327.61,78.66,32.68,79.27,864.4,59.02,3.69
382.24,87,0,104.28,104.67,272.18,316.56,82.55,32.41,76.1,828.1,53.66,4.07
383.26,42.94,7.32,104.39,104.63,272.46,336.76,75.23,32.41,114.54,852.3,57.41,4.07
384.3,77.91,13.27,104.77,104.63,272.46,337.91,69.28,32.13,84.64,853.73,57.76,4.07
385.36,112.24,12.96,104.73,104.63,272.45,338.67,69.59,32.41,111.16,855.16,57.97,4.07
386.4,133.56,16.7,104.73,104.63,272.45,337.91,65.85,32.41,102.8,851.48,57.32,4.07
387.41,165.57,17.23,104.73,104.67,272.46,336.38,65.32,32.41,88.36,851.27,57.76,4.07
388.43,169.22,2.52,104.66,104.67,272.19,341.72,80.04,32.41,122.9,852.3,57.53,4.07
389.47,249.3,13.73,104.73,104.67,272.18,336.38,68.83,32.68,111.95,848.82,58.73,4.07
390.49,140.9,18.38,104.73,104.67,272.17,340.58,64.18,32.41,109.6,853.93,59.08,4.07
391.53,186.98,18.15,104.81,104.71,272.17,337.91,64.4,32.41,115.34,848,60.01,4.07
392.54,169.23,13.57,104.85,104.71,271.9,339.81,68.98,32.41,100.11,851.07,60.51,4.07
393.56,126.32,7.47,104.81,104.75,271.89,338.29,75.08,32.41,89.28,852.91,60.01,4.45
394.62,95.4,15.02,104.89,104.86,271.91,339.81,67.53,32.68,72.96,852.91,60.48,4.07
395.64,96.41,6.48,104.85,104.83,271.9,341.72,76.07,32.41,78.88,853.32,59.17,4.07
396.66,95.89,16.7,104.81,104.9,271.72,339.05,65.85,32.41,72.74,852.91,59.52,4.07
397.7,124.66,8.39,104.81,104.94,270.5,336.76,74.16,32.68,75.52,853.54,59.52,4.07
398.71,101.75,13.73,104.81,104.94,270.09,360.02,68.83,32.68,77.11,884.3,61.8,4.45
399.77,93.07,9,104.81,104.98,269.92,338.29,73.55,32.68,80.98,849.43,59.11,4.07
400.81,65.61,5.72,104.96,105.02,270.2,324.56,76.83,32.68,99.2,839.58,58.11,4.07
